Medicine Name,Uses,Manufacturer
Rebeat 2.5mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,La Renon Healthcare Pvt Ltd
Rosbest 10 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Mova Pharmaceutical Pvt Ltd
Rebeat 2.5mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,La Renon Healthcare Pvt Ltd
Rosbest 10 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Mova Pharmaceutical Pvt Ltd
Rexidin Mouth Wash,Treatment of Mouth infection,Indoco Remedies Ltd
Rizora ODS 10 Disintegrating Strip, Acute migraine headache,Intas Pharmaceuticals Ltd
Rosupack 20 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Koye Pharmaceuticals Pvt ltd
Rozustat 10 D Tablet, High cholesterol,Macleods Pharmaceuticals Pvt Ltd
Rizora ODS 5 Disintegrating Strip, Acute migraine headache,Intas Pharmaceuticals Ltd
Rosave D 20 Tablet, High cholesterol,Alembic Pharmaceuticals Ltd
Rosave D 20 Tablet, High cholesterol,Alembic Pharmaceuticals Ltd
Regrow 5% Solution,Treatment of Hair loss,West-Coast Pharmaceutical Works Ltd
Rosucia-Gold Capsule, Heart attack,Precia Pharma
Riax-M XR 5mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,Dr Reddy's Laboratories Ltd
Rabio Vaccine, Prevention of Rabies,Prosper Channel Lifescience India Pvt Ltd
Raptac Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Rapross Pharmaceuticals Pvt Ltd
Ramilace 5mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Shrrishti Health Care Products Pvt Ltd
Spexib Capsule, Non-small cell lung cancer,Novartis India Ltd
Stemetil MD Tablet,Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,Abbott
Sumo Tablet, Pain relief,Alkem Laboratories Ltd
Sompraz D 40 Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Sun Pharmaceutical Industries Ltd
Signoflam Tablet, Pain relief,Lupin Ltd
Surfaz-SN Cream,Treatment of Skin infections,Franco-Indian Pharmaceuticals Pvt Ltd
Solvin Cold Tablet,Treatment of Common cold,Ipca Laboratories Ltd
Sompraz 40 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Sun Pharmaceutical Industries Ltd
Stugeron Tablet,Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease,Janssen Pharmaceuticals
Sucral-O Suspension,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Strassenburg Pharmaceuticals.Ltd
Sorbitrate 5 Tablet,Prevention of Angina (heart-related chest pain),Abbott
Sibelium 10mg Tablet,Prevention of Migraine,Janssen Pharmaceuticals
Sucrafil O Gel Sugar Free,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Fourrts India Laboratories Pvt Ltd
Septran DS 800mg/160mg Tablet,Treatment of Bacterial infections,Koye Pharmaceuticals Pvt ltd
Smuth Cream,Treatment of Piles,Aristo Pharmaceuticals Pvt Ltd
Sumo Cold Tablet,Treatment of Common cold,Alkem Laboratories Ltd
Silodal 8 Capsule,Treatment of Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Syndopa Plus Tablet,Treatment of Parkinson's disease,Sun Pharmaceutical Industries Ltd
Silodal-D 8 Capsule,Treatment of Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Susten SR 200 Tablet, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Susten 200 Soft Gelatin Capsule, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Seroflo 250 Inhaler,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Stamlo 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Dr Reddy's Laboratories Ltd
Suhagra 100 Tablet,Treatment of Erectile dysfunction,Cipla Ltd
Sucral Suspension,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Strassenburg Pharmaceuticals.Ltd
Sucral Ano Cream,Treatment of Anal fissure,Strassenburg Pharmaceuticals.Ltd
Skinlite Cream,Treatment of Melasma,Zydus Cadila
Spasmonil 20mg/325mg Tablet,Treatment of Abdominal pain,Cipla Ltd
Skinshine Cream,Treatment of Melasma,Cadila Pharmaceuticals Ltd
Susten SR 300 Tablet, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Sucrafil Suspension Sugar Free,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Fourrts India Laboratories Pvt Ltd
Strocit Plus Tablet, Stroke,Sun Pharmaceutical Industries Ltd
Sompraz L Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Sun Pharmaceutical Industries Ltd
Satrogyl-O Tablet,Treatment of DiarrheaTreatment of Dysentery,Alkem Laboratories Ltd
Sporidex 500 Capsule,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Stemetil Injection,Treatment of AnxietyTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of VertigoTreatment of Short term anxiety,Abbott
Solvin Cold Syrup,Treatment of Common cold,Ipca Laboratories Ltd
Stugeron Forte Tablet,Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease,Janssen Pharmaceuticals
Stugeron Plus Tablet,Treatment of Vertigo,Janssen Pharmaceuticals
Soliten 5mg Tablet,Treatment of Overactive bladder (OAB) symptoms,Sun Pharmaceutical Industries Ltd
Swich CV 325 Tablet,Treatment of Respiratory tract infection,Alkem Laboratories Ltd
Swich 200 Tablet,Treatment of Bacterial infections,Alkem Laboratories Ltd
Sitcom Tablet,Treatment of Piles,Panacea Biotec Ltd
Suhagra 50 Tablet,Treatment of Erectile dysfunction,Cipla Ltd
Sinarest LP New Tablet,Treatment of Common cold,Centaur Pharmaceuticals Pvt Ltd
Sizodon MD 0.5 Tablet,Treatment of SchizophreniaTreatment of Mania,Sun Pharmaceutical Industries Ltd
Serta 25 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Torrent Pharmaceuticals Ltd
Serta 50 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Torrent Pharmaceuticals Ltd
Sibelium 5mg Tablet,Prevention of Migraine,Janssen Pharmaceuticals
Sinarest Paediatric Drops,Treatment of Common cold,Centaur Pharmaceuticals Pvt Ltd
SN 15 Plus Tablet, Pain relief,Serum Institute Of India Ltd
Sensiclav 625 Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Strocit 500 Tablet,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Sun Pharmaceutical Industries Ltd
Sporidex-CV 750 Tablet ER, Bacterial infections,Sun Pharmaceutical Industries Ltd
Storvas 10 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Symbal 20 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,Torrent Pharmaceuticals Ltd
Supacef 1.5gm Powder for Injection,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Sysron-N Tablet,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS),Systopic Laboratories Pvt Ltd
Stamlo Beta Tablet,Treatment of Hypertension (high blood pressure),Dr Reddy's Laboratories Ltd
Solu-Medrol 1gm Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Pfizer Ltd
Sorbitrate 10 Tablet,Prevention of Angina (heart-related chest pain)Controlling Heart failure,Abbott
Serenace Injection 1ml, Schizophrenia,RPG Life Sciences Ltd
Secnil Forte Tablet, Bacterial & parasitic infections,Abbott
Seloken XL 25mg Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,AstraZeneca
Stalopam 10 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Lupin Ltd
Sebonac Gel, Acne,Glowderma Labs Pvt Ltd
Sompraz IT Capsule SR, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Sun Pharmaceutical Industries Ltd
Setolac 300 ER Tablet, Pain relief,Zuventus Healthcare Ltd
Silofast D 8 Tablet,Treatment of Benign prostatic hyperplasia,Cipla Ltd
Soha 0.1% Eye Drop,Treatment of Dry eyes,Sun Pharmaceutical Industries Ltd
Starpress XL 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Lupin Ltd
Sumo L 650 Tablet, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Sotret 20mg Capsule,Treatment of Acne,Sun Pharmaceutical Industries Ltd
Styptovit E 500mg Tablet, Bleeding,Dr Reddy's Laboratories Ltd
Stanlip 145mg Tablet, High cholesterol,Sun Pharmaceutical Industries Ltd
Sompraz HP Combipack,Treatment of Peptic ulcer disease,Sun Pharmaceutical Industries Ltd
Sumo L DS Suspension, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Silofast 8 Capsule,Treatment of Benign prostatic hyperplasia,Cipla Ltd
Starpress XL 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Lupin Ltd
Supirocin Ointment,Treatment of Bacterial skin infections,Glenmark Pharmaceuticals Ltd
Spasmodart Tablet, Abdominal pain,Juggat Pharma
Surfaz Cream,Treatment of Fungal skin infections,Franco-Indian Pharmaceuticals Pvt Ltd
Sensival 25 Tablet, Depression Bed-wetting Neuropathic pain,Wallace Pharmaceuticals Pvt Ltd
Solvin Cold AF Syrup,Treatment of Common cold,Ipca Laboratories Ltd
Stator 10 Tablet, High cholesterolPrevention of Heart attack,Abbott
Solvin Cold Drop,Treatment of Common cold,Ipca Laboratories Ltd
Super Manforce Tablet,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH),Mankind Pharma Ltd
Seroflo 250 Rotacap,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Safexim 200mg Tablet,Treatment of Bacterial infections,Shreya Life Sciences Pvt Ltd
Smuth Capsule, Constipation,Aristo Pharmaceuticals Pvt Ltd
Silybon Suspension, Chronic liver disease Liver cirrhosis,Micro Labs Ltd
Syscan 150 Capsule,Treatment of Fungal infections,Torrent Pharmaceuticals Ltd
Sebowash  Shampoo, Dandruff,Cipla Ltd
Stiloz 100 Tablet,Treatment of Intermittent claudication,Integrace Pvt Ltd
Sustanon 250 Injection,Treatment of Male hypogonadism,Zydus Cadila
Seradic-P Tablet, Pain relief,Obsurge Biotech Ltd
Scaboma Lotion, Scabies,Glenmark Pharmaceuticals Ltd
Sysron-NCR Tablet,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS),Systopic Laboratories Pvt Ltd
Sofinox Cream, Bacterial skin infections,Apex Laboratories Pvt Ltd
Sizodon LS Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Siloderm Mixi Cream,Treatment of Skin infections,USV Ltd
Susten 400 Soft Gelatin Capsule, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Stugil Tablet, Vertigo,Eris Lifesciences Ltd
Stablanz-PV Tablet, Meniere's disease,Ordain Health Care Global Pvt Ltd
Swich 100 Dry Syrup,Treatment of Bacterial infections,Alkem Laboratories Ltd
Snake Venom Antiserum Injection, Snake Bite,Bharat Serums & Vaccines Ltd
Solicept 5 Tablet,Treatment of Overactive bladder (OAB) symptoms,Lupin Ltd
Swich 50 Dry Syrup,Treatment of Bacterial infections,Alkem Laboratories Ltd
Skelebenz 15 Capsule ER, Muscle relaxation,Sun Pharmaceutical Industries Ltd
Sumo L Plus Paediatric Suspension, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Seloken XL 50mg Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,AstraZeneca
Sizodon Plus Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Syndopa CR Tablet,Treatment of Parkinson's disease,Sun Pharmaceutical Industries Ltd
Superspas RF Injection,Treatment of Abdominal pain,Seagull Pharmaceutical Pvt Ltd
Susten 100 Injection, Hormone replacement therapy Female infertility,Sun Pharmaceutical Industries Ltd
Sumo L Drops, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Stamlo 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Dr Reddy's Laboratories Ltd
Stamlo-T Tablet,Treatment of Hypertension (high blood pressure),Dr Reddy's Laboratories Ltd
Sildoo 8 Capsule,Treatment of Benign prostatic hyperplasia,Dr Reddy's Laboratories Ltd
Storvas 20 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Storvas 40 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Strocit Injection,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Sun Pharmaceutical Industries Ltd
Sylate 500 Tablet, Bleeding,Emcure Pharmaceuticals Ltd
Sufrate LA Cream,Treatment of Anal fissure,Eskag Pharma Pvt Ltd
Spasmonil Plus Tablet,Treatment of Menstrual painTreatment of Abdominal cramp,Cipla Ltd
Solacid-O Suspension Sugar Free, Acidity Heartburn Stomach ulcers,Deys Medical
Sedogest 300mg Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,La Renon Healthcare Pvt Ltd
Sebifin Tablet, Fungal infections,Sun Pharmaceutical Industries Ltd
Silnafil 25mg Tablet,Treatment of Erectile dysfunction,Emcure Pharmaceuticals Ltd
Suhagra 25 Tablet,Treatment of Erectile dysfunction,Cipla Ltd
Suvida Tablet, Contraception,Eskag Pharma Pvt Ltd
Sotret NF 16mg Capsule,Treatment of Acne,Sun Pharmaceutical Industries Ltd
Soliten 10mg Tablet,Treatment of Overactive bladder (OAB) symptoms,Sun Pharmaceutical Industries Ltd
Solvin-OD Tablet SR, Sneezing and runny nose due to allergies,Ipca Laboratories Ltd
Sporidex AF 750 Tablet ER,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Suminat 50 Tablet, Acute migraine headache,Sun Pharmaceutical Industries Ltd
Stablon Tablet, Depression,Serdia Pharmaceuticals India Pvt Ltd
Septran Paediatric Oral Suspension,Treatment of Bacterial infections,Koye Pharmaceuticals Pvt ltd
Swich Drops,Treatment of Bacterial infections,Alkem Laboratories Ltd
Sepgard AR Gel, Wound infection,Themis Medicare Ltd
Sucral MU Ointment, Burns,Strassenburg Pharmaceuticals.Ltd
Solvin LS Syrup,Treatment of Cough with mucus,Ipca Laboratories Ltd
Sumo L 125 Suspension, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Spenzo 0.5 Tablet, Schizophrenia Depression Bipolar disorder,Intas Pharmaceuticals Ltd
Sorbidiol 300 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,Franco-Indian Pharmaceuticals Pvt Ltd
Sorliv Oral Solution, Fatty liver disease,Ipca Laboratories Ltd
Sartel 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Intas Pharmaceuticals Ltd
Stafcure 500 Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Sartel AM Tablet,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Stator-F Tablet,Treatment of High cholesterolPrevention of Heart attack,Abbott
Siphene Tablet,Treatment of Female infertility,Serum Institute Of India Ltd
Sinus 77 Tablet,Treatment of Common cold,Dales Laboratories Pvt Ltd
Suprox SR Tablet,Treatment of Premature LaborTreatment of Peripheral vascular disease,Ind Swift Laboratories Ltd
Sotret 10mg Capsule,Treatment of Acne,Sun Pharmaceutical Industries Ltd
Saltum Tablet, Bacterial infections,Morepen Laboratories Ltd
Solvin Cold DS Syrup,Treatment of Common cold,Ipca Laboratories Ltd
Serlift 50 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Eris Lifesciences Ltd
Sucraday O Syrup,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Mankind Pharma Ltd
Stelbid Tablet, Irritable bowel syndrome,Corona Remedies Pvt Ltd
Sizopin 25 Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Susten 200 Injection, Hormone replacement therapy Female infertility,Sun Pharmaceutical Industries Ltd
Sparacid DS Suspension,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Dr Reddy's Laboratories Ltd
Supatret 0.04 Aqueous Gel,Treatment of Acne Acute promyelocytic leukaemia,Sun Pharmaceutical Industries Ltd
Seroflo 125 Inhaler,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Snapit 85mg/500mg Tablet,Treatment of Migraine,Abbott
Sompraz D 20 Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Sun Pharmaceutical Industries Ltd
Sompraz 20 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Sun Pharmaceutical Industries Ltd
Serta 100 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Torrent Pharmaceuticals Ltd
Synriam 150/750mg Tablet,Treatment of Malaria,Sun Pharmaceutical Industries Ltd
Syntran 200 Capsule,Treatment of Fungal infections,Glenmark Pharmaceuticals Ltd
Soventus Jr Syrup, Cough with mucus,Zuventus Healthcare Ltd
Sulpitac 50 Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Scabelice Lotion, Scabies,Mankind Pharma Ltd
Silotime 8 Capsule,Treatment of Benign prostatic hyperplasia,Intas Pharmaceuticals Ltd
Signoflam-TH 4 Tablet,Treatment of Muscular pain,Lupin Ltd
Syndopa CR 125 Tablet,Treatment of Parkinson's disease,Sun Pharmaceutical Industries Ltd
Sporidex 250 Capsule,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Stalopam 5 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Lupin Ltd
Solvin Cold AF Oral Drops,Treatment of Common cold,Ipca Laboratories Ltd
Stafcure CV 500 Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Sumo L IV Infusion, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Silybon 70mg Tablet, Chronic liver disease Liver cirrhosis,Micro Labs Ltd
Sylate T 500mg/250mg Tablet, Heavy menstrual bleeding,Emcure Pharmaceuticals Ltd
Solitral Capsule ER,Treatment of Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Sulpitac 100 Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Saril Tablet,Treatment of Bacterial & parasitic infections,Shreya Life Sciences Pvt Ltd
Stopache Tablet,Treatment of Headache,Paras Pharmaceuticals Ltd
Sartel Trio Tablet, Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Syntran Capsule,Treatment of Fungal infections,Glenmark Pharmaceuticals Ltd
Susten 300 Soft Gelatin Capsule, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Sternon-S Lotion, Eczema Psoriasis,Palsons Derma
Sulisent 100mg Tablet,Treatment of Type 2 diabetes mellitus,USV Ltd
Step-UP Syrup,Treatment of Allergic conditions Appetite stimulant,Emcee Pharmaceuticals Pvt Ltd
Solu-Medrol 500mg Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Pfizer Ltd
Sporidex 100mg Paediatric Drops,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Silodal 4 Capsule,Treatment of Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Stamlo D Tablet, Hypertension (high blood pressure),Dr Reddy's Laboratories Ltd
Synca Eye Drop,Treatment of Glaucoma,Sun Pharmaceutical Industries Ltd
Scabex Lotion, Scabies,Indoco Remedies Ltd
Siphene 100 Tablet,Treatment of Female infertility,Serum Institute Of India Ltd
Symbicort 160mcg/4.5mcg Turbuhaler,Treatment of Chronic obstructive pulmonary disease (COPD),AstraZeneca
Soliact 5 Tablet,Treatment of Overactive bladder (OAB) symptoms,Cipla Ltd
Sudin Cold Tablet,Treatment of Common cold,Group Pharmaceuticals Ltd
Sistal Forte Tablet, Pain reliefTreatment of Swelling,BestoChem Formulations  India  Ltd
Semi Reclimet 40mg/500mg Tablet,Treatment of Type 2 diabetes mellitus,Dr Reddy's Laboratories Ltd
Sibofix 400 Tablet,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea,Dr Reddy's Laboratories Ltd
Sartel-LN 40 Tablet,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Sevcar 400 Tablet, High phosphate levels in blood,Emcure Pharmaceuticals Ltd
Sizopin 100mg Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Sgltr Tablet,Treatment of Type 2 diabetes mellitus,Mankind Pharma Ltd
Serowel Tablet, Pain relief Swelling,Leeford Healthcare Ltd
Sizodon Forte Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
S-Mucolite Syrup, Cough,Dr Reddy's Laboratories Ltd
Symbal 30 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,Torrent Pharmaceuticals Ltd
Superspas Oral Gel Orange Sugar Free, Acidity Stomach ulcers Bloating,Seagull Pharmaceutical Pvt Ltd
Seradic-AP Tablet, Pain relief,Obsurge Biotech Ltd
Sparacid O Oral Suspension Mint No Added Sugar,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Dr Reddy's Laboratories Ltd
Simbrinza Ophthalmic Suspension,Treatment of Glaucoma,Alcon Laboratories
Sporidex AF 375 Tablet ER,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Sildoo-D8 Capsule Combipack,Treatment of Benign prostatic hyperplasia,Dr Reddy's Laboratories Ltd
Sefdin Capsule, Bacterial infections,Torrent Pharmaceuticals Ltd
Scabisin Lotion, Scabies,Torque Pharmaceuticals Pvt Ltd
Suminat 25 Tablet, Acute migraine headache,Sun Pharmaceutical Industries Ltd
Supatret C Aqueous Gel,Treatment of Acne,Sun Pharmaceutical Industries Ltd
Sucral Cream,Treatment of Skin conditions with inflammation & itchingTreatment of Intestinal ulcersTreatment of Stomach ulcers,Strassenburg Pharmaceuticals.Ltd
Skin Shine Cream,Treatment of Melasma,Knoll Pharmaceuticals Ltd
Sizodon 1 Tablet,Treatment of SchizophreniaTreatment of Mania,Sun Pharmaceutical Industries Ltd
Serlift 25 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Eris Lifesciences Ltd
Sonaderm-NM Cream,Treatment of Skin infections,Blue Cross Laboratories Ltd
Suthin Gold Eye Drop,Treatment of Allergic eye disease,Pharmtak Ophtalmics India Pvt Ltd
Suthin Eye Drop,Treatment of Allergic eye disease,Pharmtak Ophtalmics India Pvt Ltd
Spectra 25mg Capsule,Treatment of InsomniaTreatment of DepressionTreatment of Anxiety disorder,Eris Lifesciences Ltd
Sartel-Beta 50 Tablet ER,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Softvisc New Softvisc Lubricant Eye Drop,Treatment of Dry eyes,Ajanta Pharma Ltd
Soventus-LS Syrup,Treatment of Cough with mucus,Zuventus Healthcare Ltd
Smulax Liquid,Treatment of ConstipationTreatment of Hepatic encephalopathy,Aristo Pharmaceuticals Pvt Ltd
Smuth Fiber,Treatment of Constipation,Aristo Pharmaceuticals Pvt Ltd
Sirdalud 2mg Tablet, Muscle relaxation,Novartis India Ltd
Solvin Cough Tablet,Treatment of Dry cough,Ipca Laboratories Ltd
Sorvate Ointment,Treatment of Psoriasis,Glenmark Pharmaceuticals Ltd
Semi-Amaryl Tablet,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Sovihep V Tablet,Treatment of Chronic hepatitis C virus (HCV) infection,Zydus Cadila
Susten 8% Gel, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Saflutan Eye Drop, Glaucoma Ocular hypertension,Santen India Pvt Ltd
Spegra Tablet, HIV infection,Emcure Pharmaceuticals Ltd
Seroflo 250 Synchrobreathe,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Syscan 200 Capsule,Treatment of Fungal infections,Torrent Pharmaceuticals Ltd
Sibolone Tablet, Hormone replacement therapy Post menopausal osteoporosis,Serum Institute Of India Ltd
Sorbidiol 150 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,Franco-Indian Pharmaceuticals Pvt Ltd
Seriva Cream,Treatment of Fungal skin infectionsTreatment of Fungal infections,Torrent Pharmaceuticals Ltd
Sartel H 40 Tablet,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Softdrops Liquigel,Treatment of Dry eyes,Ajanta Pharma Ltd
Solvin-EX Expectorant Passion Fruit Sugar Free, Cough with mucus,Ipca Laboratories Ltd
Solu-Medrol 125mg Injection,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Pfizer Ltd
Solvin-DX Syrup Raspberry Sugar Free,Treatment of Dry cough,Ipca Laboratories Ltd
S-Numlo 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Emcure Pharmaceuticals Ltd
Symbiotik Capsule, Bacterial infections,Cadila Pharmaceuticals Ltd
Sensiclav BD 228.5mg Dry Syrup,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Sifasi 5000IU Injection,Treatment of Female infertilityTreatment of Male hypogonadism,Serum Institute Of India Ltd
Susten 100 Soft Gelatin Capsule, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Sebifin Plus Cream,Treatment of Fungal skin infections,Sun Pharmaceutical Industries Ltd
Salbair 50mcg Transhaler, Chronic obstructive pulmonary disease (COPD)Treatment of Asthma,Lupin Ltd
